_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d906dbcb30ffd007ed0,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SAN SEBASTIAN,110102,U.E MUNICIPAL HEROES DEL CENEPA,11H00104,Ordinario,Municipal,Urbana,Sierra,Intercultural,12,4,16,124,158,282,267,0,0,0,0,15
67900d906dbcb30ffd007ed4,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SAN SEBASTIAN,110102,UNIDAD EDUCATIVA  MUNICIPAL  PRADERA,11H00111,Ordinario,Municipal,Urbana,Sierra,Intercultural,10,3,13,81,95,176,176,0,0,0,0,0
67900d906dbcb30ffd007ef9,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SUCRE,110103,UNIDAD EDUCATIVA MUNICIPAL TIERRAS COLORADAS,11H00171,Ordinario,Municipal,Urbana,Sierra,Intercultural,12,3,15,115,115,230,230,0,0,0,0,0
67900d906dbcb30ffd007efd,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SUCRE,110103,U.E MUNICIPAL BORJA,11H00178,Ordinario,Municipal,Urbana,Sierra,Intercultural,1,0,1,46,29,75,75,0,0,0,0,0
67900d906dbcb30ffd007f04,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SUCRE,110103,CAPULÍ LOMA,11H00194,Ordinario,Municipal,Urbana,Sierra,Intercultural,7,4,11,43,39,82,79,1,0,0,0,2
67900d906dbcb30ffd007f12,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SAN SEBASTIAN,110102,MUNICIPAL ECOLOGICA,11H00216,Ordinario,Municipal,Urbana,Sierra,Intercultural,7,5,12,52,61,113,110,0,0,0,0,3
67900d906dbcb30ffd007f13,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,SUCRE,110103,UNIDAD EDUCATIVA MUNICIPAL DR ANGEL FELICISIMO ROJAS,11H00217,Ordinario,Municipal,Urbana,Sierra,Intercultural,10,4,14,72,79,151,151,0,0,0,0,0
67900d906dbcb30ffd007f17,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,VALLE,110104,UNIDAD EDUCATIVA MUNICIPAL MONSEÑOR JORGE GUILLERMO ARMIJOS,11H00222,Ordinario,Municipal,Urbana,Sierra,Intercultural,9,2,11,69,88,157,155,0,0,0,0,2
67900d906dbcb30ffd007f25,2011-2012 Inicio,Zona 7,LOJA,11,LOJA,1101,VALLE,110104,UNIDAD INFANTIL Y ORFANATO MUNICIPAL N1,11H00251,Ordinario,Municipal,Urbana,Sierra,Intercultural,12,0,12,28,38,66,66,0,0,0,0,0
67900d906dbcb30ffd0080d3,2011-2012 Inicio,Zona 7,LOJA,11,CHAGUARPAMBA,1105,SANTA RUFINA,110553,SEGUNDO PUERTAS MORENO,11H00836,Ordinario,Municipal,Rural,Costa,Intercultural,1,0,1,4,3,7,7,0,0,0,0,0
67900d906dbcb30ffd008418,2011-2012 Inicio,Zona 7,LOJA,11,CATAMAYO,1103,CATAMAYO,110301,CENTRO EDUCATIVO MUNICIPAL CATAMAYO,11H01845,Ordinario,Municipal,Urbana,Sierra,Intercultural,6,1,7,43,61,104,104,0,0,0,0,0
